 GoToToiletMasonAction, StandStillMasonAction, SlowWanderMasonAction, FastWanderMasonAction, WaitForFriendMasonAction, IdleMasonAction
,,47,50,,3
,,47,51,,2
,,47,51,,2
1,,47,51,1,
1,,47,51,1,
1,,47,51,1,
1,,47,51,1,
1,,47,51,1,
1,,47,51,1,
1,,47,51,1,
1,,47,51,,1
1,,47,1,,51
1,,68,28,,3
1,,69,29,,1
1,,69,30,,
1,,69,30,,
1,,69,30,,
1,,69,30,,
1,,69,30,,
1,,69,30,,
1,,69,30,,
1,,22,30,,47
1,,48,50,,1
1,,48,23,,28
1,,64,33,,2
1,,65,33,,1
1,,65,33,,1
1,,65,34,,
1,,65,34,,
1,,65,34,,
1,,65,34,,
1,,65,34,,
1,,65,34,,
1,,44,15,,40
1,,59,37,,3
1,,60,28,,11
1,,67,30,,2
1,,68,31,,
1,,68,30,,1
1,,69,30,,
1,,69,30,,
1,,69,30,,
1,,69,30,,
1,,43,30,,26
1,,56,43,,
1,,40,20,,39
1,,64,30,,5
1,,67,28,,4
,,69,29,,2
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,53,16,,31
,,63,35,,2
,,57,23,,20
,,70,26,,4
,,72,25,,3
,,73,24,,3
,,74,25,,1
,,74,25,,1
,,74,25,,1
,,74,25,,1
,,61,25,,14
,,68,31,,1
,,43,12,,45
,,66,29,,5
,,66,27,,7
,,68,30,,2
,,68,31,,1
,,68,30,,2
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,58,24,,18
,,66,32,,2
,,52,16,,32
,,60,35,,5
,,60,32,,8
,,62,34,,4
,,64,34,,2
,,64,34,,2
1,,64,34,1,
1,,64,34,1,
1,,57,34,1,7
1,,58,40,1,
1,,32,32,1,34
1,,48,47,1,3
1,,46,29,1,23
1,,58,39,1,1
1,,59,36,1,3
1,,60,37,1,1
1,,61,37,1,
1,,61,37,1,
1,,61,37,1,
1,,61,37,1,
1,,52,31,,16
1,,60,38,,1
1,,50,22,,27
1,,64,29,,6
1,,63,21,,15
1,,62,35,,2
1,,64,34,,1
1,,65,34,,
1,,65,34,,
1,,65,34,,
1,,64,34,,1
1,,64,35,,
1,,46,28,,25
1,1,55,43,,
1,1,43,33,,22
1,1,49,44,,5
1,1,51,31,,16
1,1,58,39,,1
1,1,58,40,,
1,1,58,40,,
1,,58,40,,1
1,,59,40,,
1,,51,39,,9
1,,56,43,,
1,,40,28,,31
1,,50,47,,2
1,,49,35,,15
1,,56,39,,4
1,,56,32,,11
2,,61,34,,3
2,,62,35,,1
2,,62,35,1,
2,,62,35,1,
2,,62,35,1,
2,,53,31,1,13
2,,57,40,1,
2,,50,21,1,26
2,,63,28,1,6
2,,58,26,,14
2,,68,27,,3
2,1,68,24,1,4
2,1,68,26,1,2
2,1,68,26,1,2
2,1,68,27,1,1
2,1,63,27,1,6
2,1,67,28,1,1
2,1,55,19,1,22
2,,63,32,,3
2,,55,23,,20
2,,66,26,,6
2,,63,26,,9
2,,66,30,,2
2,,67,27,,4
2,,69,28,,1
2,,69,27,,2
2,,69,28,,1
2,,65,27,,6
2,,68,29,,1
2,,51,16,,31
1,,61,33,,5
1,,53,29,,17
1,,60,34,,5
1,,61,33,,5
1,,63,34,,2
1,,63,34,,2
1,,63,35,,1
1,,59,34,,6
1,,60,38,,1
1,,52,36,,11
1,,54,43,,2
1,,42,27,,30
1,,51,43,,5
1,,48,37,,14
1,,51,42,,6
1,,52,42,,5
1,,54,41,,4
1,,54,41,,4
1,,54,42,,3
1,,51,38,1,9
1,,56,40,1,2
2,,43,33,1,21
2,,53,40,1,4
2,,48,23,1,26
2,,56,38,1,3
2,,53,32,1,12
2,,56,39,1,2
2,,56,40,1,1
2,,56,39,1,2
2,,56,38,1,3
2,,57,39,1,1
2,,54,37,1,6
2,,58,38,1,1
2,,47,30,,21
2,,53,40,,5
2,,51,25,,22
2,,58,32,,8
2,,61,25,,12
2,,65,30,,3
2,,65,32,,1
2,,65,32,,1
2,,60,31,,7
2,,63,34,,1
2,,51,33,,14
2,,58,37,,3
2,,50,27,,21
2,1,55,40,,2
2,1,53,31,,13
2,1,60,35,,2
2,1,60,30,,7
2,1,62,31,,4
2,1,63,31,,3
2,1,63,33,,1
2,,59,30,,9
2,1,62,34,,1
2,1,55,30,,12
2,1,56,37,,4
2,1,47,25,,25
2,1,57,33,,7
2,1,57,29,,11
2,1,62,32,,3
1,,64,30,,5
1,,65,33,,1
1,,62,31,,6
1,,64,34,,1
1,,55,30,,14
1,,63,33,,3
1,,60,25,,14
1,,70,25,,4
1,,64,18,,17
1,,72,24,,3
1,,71,20,,8
1,,73,22,,4
1,,75,20,,4
1,,77,21,,1
1,,74,18,,7
1,,77,21,,1
1,,74,18,1,6
1,,75,21,1,2
1,,60,20,1,18
1,,66,26,1,6
1,,65,20,1,13
1,,67,28,1,3
1,,67,26,1,5
1,,70,27,,2
1,,69,26,,4
1,,71,27,,1
1,,62,24,,13
1,,64,31,,4
1,,56,28,,15
1,,62,34,,3
1,,55,28,,16
1,,63,32,,4
1,,60,27,,12
1,,64,31,,4
1,,64,30,,5
1,,67,30,,2
1,,64,29,,6
1,,66,31,,2
1,,64,25,,10
