 FastWanderMasonAction, GoToGoalMasonAction, SlowWanderMasonAction, IdleMasonAction
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
44,21,33,2
,21,33,46
4,58,36,2
4,58,36,2
4,58,36,2
4,58,36,2
4,58,36,2
4,58,36,2
4,58,36,2
4,58,36,2
4,58,36,2
4,58,3,35
6,85,7,2
2,85,7,6
2,89,7,2
2,89,7,2
2,89,7,2
2,89,7,2
2,89,7,2
2,89,7,2
2,89,7,2
2,89,7,2
2,89,7,2
,89,4,7
,94,4,2
,94,4,2
,94,4,2
,94,4,2
,94,4,2
,94,4,2
,94,4,2
,94,4,2
,94,4,2
,94,,6
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,98,,2
,96,,4
,68,,32
,67,,33
,66,,34
,65,,35
,62,,38
,61,,39
,61,,39
,61,,39
,61,,39
,59,,41
,57,,43
,56,,44
,52,,48
,49,,51
,48,,52
,47,,53
,45,,55
,45,,55
,44,,56
,41,,59
,38,,62
,36,,64
,34,,66
,32,,68
,27,,73
,24,,76
,20,,80
,17,,83
,17,,83
,16,,84
,15,,85
,15,,85
,12,,88
,8,,92
,8,,92
,8,,92
,8,,92
,7,,93
,7,,93
,6,,94
,6,,94
,6,,94
,5,,95
,5,,95
,5,,95
,4,,96
,4,,96
,4,,96
,2,,98
,2,,98
,1,,99
,1,,99
,1,,99
,1,,99
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
