 StandStillMasonAction, IdleMasonAction, SlowWanderMasonAction
,11,89
,2,98
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,,100
,89,11
,16,84
,5,95
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,84,16
,27,73
,8,92
,3,97
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,72,28
,35,65
,12,88
,3,97
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,60,40
,43,57
,23,77
,8,92
,6,94
,4,96
,3,97
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,48,52
,55,45
,46,54
,23,77
,13,87
,8,92
,6,94
,4,96
,3,97
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,24,76
,41,59
,47,53
,35,65
,26,74
,16,84
,11,89
,10,90
,3,97
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,10,90
,25,75
,33,67
,34,66
1,30,69
1,23,76
1,18,81
1,19,80
1,14,85
1,11,88
1,7,92
,4,96
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
,3,97
,3,97
1,2,97
1,7,92
1,20,79
1,24,75
1,32,67
1,39,60
1,26,73
,25,75
1,25,74
1,18,81
1,12,87
1,13,86
1,10,89
1,8,91
1,5,94
,4,96
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
,6,94
1,13,86
1,16,83
1,17,82
1,28,71
1,26,73
