 GoToToiletMasonAction, StandStillMasonAction, SlowWanderMasonAction, FastWanderMasonAction, WaitForFriendMasonAction, IdleMasonAction
,,42,57,,1
,,43,57,,
,,43,57,,
,,43,57,,
,,43,57,,
,,43,57,,
,,43,57,,
,,43,57,,
,,43,57,,
,,43,57,,
,,43,57,,
,,43,,,57
,,67,32,,1
,,67,33,,
,,67,33,,
,,67,33,,
,,67,33,,
,,67,33,,
,,67,33,,
,,67,33,,
,,67,33,,
,,25,33,,42
,,48,51,,1
,,48,20,,32
,,64,34,,2
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,40,17,,43
,,61,36,,3
,,61,23,,16
,,72,26,,2
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,48,27,,25
,,56,42,,2
,,41,22,,37
,,60,37,,3
,,61,34,,5
,,63,35,,2
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,64,35,,1
,,43,20,,37
,,59,40,,1
,,48,23,,29
,,55,43,,2
,,56,41,,3
,,57,42,,1
,,57,42,,1
,,57,42,,1
,,57,42,,1
,,57,42,,1
,,49,42,,9
,,52,46,,2
,,34,26,,40
,,51,46,,3
,,51,25,,24
,,62,36,,2
,,62,36,,2
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,46,33,,21
,,51,48,,1
,,44,28,,28
,,51,46,,3
,,50,37,,13
,,54,44,,2
,,55,43,,2
,,55,44,,1
,,55,44,,1
,,55,44,,1
,,51,44,,5
,,53,45,,2
,,35,31,,34
,,41,56,,3
,,30,39,,31
,,42,51,,7
,,44,47,,9
,,47,52,,1
,,47,51,,2
,,48,51,,1
,,48,51,,1
,,48,51,,1
,,43,50,,7
,,46,52,,2
,,38,28,,34
,,49,49,,2
,,45,35,,20
,,52,40,,8
,,55,39,,6
,,59,40,,1
,,59,40,,1
,,59,40,,1
,,56,40,,4
,,56,42,,2
,,48,40,,12
,,52,44,,4
,,42,22,,36
,,51,42,1,6
,,51,35,1,13
1,,55,39,1,4
1,,57,39,1,2
1,,58,39,1,1
1,,59,39,1,
1,,59,39,1,
1,,56,37,,6
1,,59,38,,2
1,,49,33,,17
1,,58,40,,1
1,,50,21,,28
1,,56,38,,5
1,,53,32,,14
1,,60,38,,1
1,,60,39,,
1,,60,39,,
1,,60,39,,
1,,60,39,,
1,,55,37,,7
1,,56,40,,3
1,,46,35,,18
1,,50,44,,5
1,,47,28,,24
1,,54,38,,7
1,,54,34,,11
1,,56,41,,2
1,,56,43,,
1,,56,43,,
1,,53,43,,3
1,,52,46,,1
1,,43,44,,12
1,,48,46,,5
1,,41,38,,20
1,,47,46,,6
1,,41,37,,21
1,,50,44,,5
1,,50,39,,10
1,,54,42,,3
1,,56,42,,1
1,,56,42,,1
1,,53,39,,7
1,,54,41,,4
1,,48,40,,11
1,,53,42,,4
1,,44,33,,22
1,,53,39,,7
1,,52,33,,14
1,,57,35,,7
1,,59,34,,6
1,,62,36,,1
1,,62,36,,1
1,,62,36,,1
1,,57,33,,9
1,,55,38,,6
1,,49,37,,13
1,,52,41,,6
1,,44,36,,19
1,,51,42,,6
1,,48,40,,11
1,,52,39,,8
1,,53,42,,4
1,,54,44,,1
1,,52,44,,3
1,,51,46,,2
1,,45,38,,16
1,,49,44,,6
1,,41,40,,18
1,,43,48,,8
1,,41,40,,18
1,,45,47,1,6
1,,42,49,1,7
1,,42,50,1,6
2,,43,52,1,2
1,,44,54,1,
1,,44,52,1,2
1,,44,53,1,1
1,,40,45,,14
1,,44,49,,6
1,,40,38,,21
1,,45,51,,3
1,,39,44,,16
1,,44,48,,7
1,,47,45,,7
1,,52,43,,4
1,,54,42,,3
1,,54,45,,
1,,50,44,,5
1,,50,46,,3
1,,47,42,,10
1,,48,47,,4
1,,43,34,,22
1,,54,39,,6
1,,57,32,,10
1,,57,37,,5
1,,57,38,,4
1,,59,39,,1
1,,58,37,,4
1,,60,39,,
1,,55,36,,8
1,,56,37,,6
1,,53,35,,11
1,,56,41,,2
1,,50,35,,14
1,1,51,38,,9
1,1,51,32,,15
1,1,52,36,,10
1,1,55,39,,4
1,1,56,39,,3
1,1,55,38,,5
1,1,56,40,,2
1,,52,38,,9
1,,55,37,,7
1,,48,31,,20
1,,53,38,,8
1,,52,40,,7
1,,52,43,,4
1,,50,37,,12
2,,55,37,1,5
2,,57,37,1,3
2,,58,37,1,2
2,,54,37,1,6
2,,53,40,1,4
2,,51,39,1,7
2,,53,40,1,4
2,,49,33,1,15
2,,48,33,1,16
2,,49,36,1,12
2,,50,42,1,5
2,,51,38,1,8
2,,52,40,1,5
2,,51,42,1,4
2,,53,41,1,3
2,,50,38,1,9
2,,48,40,1,9
1,,42,42,1,14
1,,44,49,1,5
1,,44,45,1,9
1,,45,43,1,10
1,,42,42,,15
1,,42,48,,9
1,,45,48,,6
1,,45,48,,6
1,,45,50,,4
1,,44,52,,3
1,,42,50,,7
1,1,44,47,,7
1,1,42,42,,14
1,1,39,50,,9
1,1,38,48,,12
