 GoToToiletMasonAction, StandStillMasonAction, SlowWanderMasonAction, FastWanderMasonAction, WaitForFriendMasonAction, IdleMasonAction
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,53,,
,,47,,,53
,,71,27,,2
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,72,27,,1
,,25,27,,48
,,45,53,,2
,,45,26,,29
,,58,41,,1
,,58,41,,1
,,58,41,,1
,,58,41,,1
,,58,41,,1
,,58,41,,1
,,58,41,,1
,,58,41,,1
,,58,41,,1
,,34,15,,51
,,54,42,,4
,,55,29,,16
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,46,33,,21
,,51,48,,1
,,38,21,,41
,,60,36,,4
,,63,32,,5
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,66,33,,1
,,45,18,,37
,,64,33,,3
,,53,18,,29
,,69,30,,1
,,69,29,,2
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,64,30,,6
,,65,34,,1
,,43,19,,38
,,59,34,,7
,,58,26,,16
,,65,34,,1
,,65,33,,2
,,65,34,,1
,,65,34,,1
,,65,34,,1
,,65,34,,1
,,65,34,,1
,,45,30,,25
,,54,42,,4
,,39,26,,35
,,54,37,,9
1,,56,34,1,8
1,,57,41,1,
1,,57,40,1,1
1,,58,40,1,
1,,58,40,1,
1,,58,40,1,
1,,57,40,1,1
1,,57,41,,1
1,,38,29,,32
1,,47,46,,6
1,,40,37,,22
1,,50,44,,5
1,,52,40,,7
1,,57,42,,
1,,57,42,,
1,,57,42,,
1,,57,42,,
1,,57,42,,
1,,48,41,,10
1,,50,46,,3
1,,36,30,,33
1,,43,41,,15
1,,47,36,,16
1,,51,41,,7
1,,51,43,,5
1,,51,47,,1
1,,51,47,,1
1,,51,47,,1
1,,51,47,,1
1,,51,47,,1
1,,41,42,,16
1,,44,45,,10
1,,37,34,,28
1,,42,44,,13
1,,39,41,,19
1,,45,46,,8
1,,46,46,1,6
1,,46,50,1,2
1,,46,51,1,1
1,,46,51,1,1
2,,43,51,1,3
2,,42,53,1,2
2,,34,48,1,15
2,,32,50,,16
2,,32,42,,24
1,,37,52,,10
1,,38,48,,13
1,,39,53,,7
1,,40,55,,4
1,,41,56,,2
1,,41,57,,1
1,,40,57,,2
1,,38,55,,6
1,1,36,58,,4
1,1,29,52,,17
1,1,28,53,,17
,1,24,48,,27
,1,26,61,,12
,1,31,57,,11
,1,35,54,,10
,1,36,58,,5
,2,37,59,,2
,2,37,59,,2
,2,36,60,,2
,2,33,58,,7
,2,31,59,,8
,2,26,53,,19
,1,27,57,,15
,1,29,43,,27
,1,35,50,,14
,1,35,55,,9
,1,38,52,1,8
1,1,38,56,1,3
1,1,37,58,1,2
1,1,36,58,1,3
1,,37,58,1,3
1,,39,55,1,4
1,,38,54,1,6
1,,37,44,,18
1,,37,50,,12
1,,35,44,,20
1,,39,44,,16
1,,40,50,,9
1,,44,48,,7
1,,46,49,,4
1,,46,51,,2
1,,44,50,,5
1,,44,52,,3
1,,42,51,,6
1,,40,51,,8
1,,34,46,,19
1,,35,50,,14
1,,32,51,1,15
2,1,35,48,1,13
2,1,39,51,1,6
2,1,42,49,1,5
2,1,42,49,1,5
2,1,40,53,1,3
2,1,39,52,1,5
2,1,40,51,,6
2,,36,49,,13
2,,38,51,,9
2,2,35,45,,16
2,2,38,45,,13
2,2,36,47,,13
2,2,35,49,,12
2,2,38,53,,5
2,2,38,51,,7
2,2,38,51,,7
2,,39,56,,3
2,1,38,56,,3
2,1,37,56,,4
2,1,36,51,,10
2,1,37,52,,8
2,1,36,47,,14
2,1,37,44,,16
2,1,37,46,,14
2,,37,52,,9
2,1,38,53,,6
2,1,40,53,,4
2,1,39,49,,9
2,1,41,50,,6
2,1,37,52,,8
2,2,35,55,,6
2,2,30,54,,12
2,1,29,55,,13
2,1,29,55,,13
2,1,28,50,,19
2,1,30,52,,15
2,1,33,57,,7
2,,32,56,,10
2,1,33,58,,6
