 StandStillMasonAction, FastWanderMasonAction, SlowWanderMasonAction, IdleMasonAction
,46,50,4
,48,50,2
,48,50,2
,48,50,2
,48,50,2
,48,50,2
,48,50,2
,48,50,2
,48,50,2
,48,50,2
,48,50,2
,2,50,48
,22,73,5
,22,76,2
,22,76,2
,22,76,2
,22,76,2
,22,76,2
,22,76,2
,22,76,2
,22,76,2
,22,26,52
,42,54,4
,21,55,24
,32,64,4
,34,64,2
,34,64,2
,34,64,2
,34,64,2
,34,64,2
,34,64,2
,34,64,2
,34,64,2
,14,41,45
,33,61,6
,24,63,13
,28,68,4
,28,70,2
,28,70,2
,28,70,2
,28,70,2
,28,70,2
,28,70,2
,28,42,30
,46,51,3
,26,43,31
,41,54,5
,38,54,8
,40,58,2
,40,58,2
,40,58,2
,40,58,2
,40,58,2
,40,58,2
,40,58,2
,22,35,43
,44,52,4
,29,47,24
,42,51,7
,41,55,4
,42,56,2
,42,56,2
,42,56,2
,42,56,2
,42,56,2
,42,46,12
,47,50,3
,26,39,35
,47,49,4
,31,47,22
,38,57,5
,40,57,3
,41,57,2
,41,57,2
,41,57,2
,41,57,2
,41,57,2
,36,38,26
,49,48,3
,27,42,31
1,43,48,8
1,39,49,11
1,41,53,5
1,42,54,3
1,43,54,2
1,43,54,2
1,43,54,2
,43,49,8
,46,52,2
,32,42,26
,46,46,8
,35,37,28
,44,47,9
,43,50,7
,44,52,4
,45,52,3
,46,52,2
,46,52,2
,46,52,2
,43,42,15
,52,44,4
,39,34,27
,51,37,12
,44,36,20
,54,38,8
,55,40,5
,54,41,5
,55,42,3
,56,42,2
,56,39,5
,57,40,3
,49,34,17
,55,37,8
,43,28,29
,50,34,16
,46,34,20
,56,34,10
,59,38,3
,58,38,4
,59,38,3
,60,38,2
,59,36,5
,59,38,3
,52,33,15
,54,33,13
,48,31,21
,46,37,17
,40,39,21
,47,43,10
,51,45,4
,51,45,4
,51,45,4
,53,45,2
,52,41,7
,54,41,5
,50,32,18
,52,34,14
,51,35,14
,51,33,16
,51,36,13
,50,40,10
,50,44,6
,52,44,4
,50,43,7
,52,43,5
,52,40,8
,51,40,9
,48,33,19
,55,32,13
,52,29,19
,49,32,19
,55,34,11
,59,34,7
,60,34,6
,63,34,3
,62,33,5
,61,33,6
,62,29,9
1,59,29,11
1,48,29,22
1,53,30,16
1,53,28,18
1,52,27,20
1,60,28,11
1,60,28,11
,64,30,6
,65,30,5
,65,30,5
,63,29,8
,64,28,8
,63,28,9
,59,24,17
,58,27,15
,58,29,13
,52,31,17
,55,34,11
,54,36,10
,55,37,8
,56,37,7
,59,37,4
,57,35,8
,60,31,9
,58,31,11
,59,29,12
,54,30,16
,54,32,14
1,55,31,13
1,55,34,10
1,58,33,8
1,61,33,5
1,58,33,8
1,57,32,10
1,57,31,11
,58,29,13
,58,27,15
,60,29,11
,57,26,17
,59,27,14
,57,30,13
,57,31,12
,59,31,10
,60,34,6
,60,35,5
,56,33,11
,58,33,9
,56,31,13
,55,30,15
,55,33,12
,51,32,17
,53,37,10
,53,37,10
,48,39,13
,51,40,9
,55,41,4
,55,39,6
,50,38,12
,49,35,16
,50,37,13
,53,36,11
,51,35,14
,51,37,12
,53,36,11
,58,33,9
,58,33,9
,57,35,8
,61,34,5
,61,35,4
,57,34,9
,57,30,13
,53,32,15
1,56,29,14
1,55,31,13
1,54,29,16
1,51,31,17
2,56,31,11
2,58,32,8
2,56,33,9
1,59,33,7
1,61,33,5
