 FastWanderMasonAction, GoToGoalMasonAction, SlowWanderMasonAction, IdleMasonAction
43,,53,4
43,,55,2
43,,55,2
43,,55,2
43,,55,2
43,,55,2
43,,55,2
43,,55,2
43,,55,2
43,,55,2
43,,55,2
,,55,45
14,13,71,2
14,13,71,2
14,13,71,2
14,13,71,2
14,13,71,2
14,13,71,2
14,13,71,2
14,13,71,2
14,13,71,2
14,13,18,55
23,44,29,4
10,45,29,16
13,50,35,2
13,50,35,2
13,50,35,2
13,50,35,2
13,50,35,2
13,50,35,2
13,50,35,2
13,50,35,2
13,50,35,2
4,50,19,27
6,65,26,3
3,65,27,5
4,67,27,2
4,67,27,2
4,67,27,2
4,67,27,2
4,67,27,2
4,67,27,2
4,67,27,2
4,67,14,15
6,75,17,2
3,75,11,11
5,82,11,2
4,82,11,3
4,83,11,2
4,83,11,2
4,83,11,2
4,83,11,2
4,83,11,2
4,83,11,2
4,83,11,2
2,83,4,11
2,92,3,3
,93,3,4
,95,3,2
,95,3,2
,95,3,2
,95,3,2
,95,3,2
,95,3,2
,95,3,2
,95,,5
,98,,2
,96,,4
,95,,5
,95,,5
,94,,6
,92,,8
,92,,8
,91,,9
,91,,9
,91,,9
,90,,10
,89,,11
,84,,16
,83,,17
,80,,20
,80,,20
,79,,21
,77,,23
,71,,29
,70,,30
,68,,32
,64,,36
,63,,37
,58,,42
,57,,43
,56,,44
,54,,46
,51,,49
,50,,50
,50,,50
,50,,50
,49,,51
,45,,55
,43,,57
,41,,59
,39,,61
,37,,63
,35,,65
,33,,67
,33,,67
,31,,69
,30,,70
,29,,71
,28,,72
,28,,72
,27,,73
,25,,75
,22,,78
,20,,80
,18,,82
,17,,83
,16,,84
,15,,85
,15,,85
,15,,85
,15,,85
,15,,85
,13,,87
,13,,87
,10,,90
,8,,92
,7,,93
,6,,94
,5,,95
,5,,95
,5,,95
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,4,,96
,3,,97
,3,,97
,3,,97
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,2,,98
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,1,,99
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
,,,100
