 GoToToiletMasonAction, SlowWanderMasonAction, FastWanderMasonAction, GoToGoalMasonAction, WaitForFriendMasonAction, IdleMasonAction
,40,57,1,,2
,40,57,1,1,1
,40,57,1,1,1
1,40,57,1,1,
1,40,57,1,1,
1,40,57,1,1,
1,40,57,1,1,
1,40,57,1,1,
1,40,57,1,,1
1,40,57,1,,1
1,40,57,1,,1
1,40,,1,,58
1,60,34,3,,2
1,61,35,3,,
1,61,35,3,,
1,61,35,3,,
1,61,35,3,,
1,61,35,3,,
1,61,35,3,,
1,61,35,3,,
1,61,35,3,,
1,21,35,3,,40
1,39,54,6,,
1,39,21,6,,33
1,51,40,7,,1
1,51,41,7,,
1,51,41,7,,
1,51,41,7,,
1,51,41,7,,
1,51,41,7,,
1,51,41,7,,
1,51,41,7,,
1,51,41,7,,
1,31,22,7,,39
1,44,39,12,,4
1,45,20,13,,21
1,51,28,18,,2
1,51,29,18,,1
1,51,29,18,,1
1,51,29,18,,1
1,51,29,18,,1
1,51,29,18,,1
1,51,29,18,,1
1,33,29,18,,19
1,38,39,21,,1
1,26,21,21,,31
1,38,31,28,,2
1,38,23,28,,10
,40,23,33,,4
,40,24,34,,2
,40,24,34,,2
,40,24,34,,2
,40,24,34,,2
,40,24,34,,2
,40,24,34,,2
,26,14,34,,26
,30,20,47,,3
,24,10,47,,19
,24,12,61,,3
,24,11,62,,3
,24,10,63,,3
,24,10,64,,2
,24,10,64,,2
,24,10,64,,2
,24,10,64,,2
,19,10,64,,7
,19,10,69,,2
,7,4,68,,21
,8,3,85,,4
,6,,86,,8
,6,1,89,,4
,6,1,89,,4
,6,1,89,,4
,6,1,89,,4
,6,1,89,,4
,6,1,89,,4
,6,1,89,,4
,1,1,89,,9
,1,1,94,,4
,1,1,94,,4
,1,1,94,,4
,1,,93,,6
,1,,94,,5
,1,,94,,5
,1,,94,,5
,1,,94,,5
,1,,94,,5
,1,,93,,6
,1,,92,,7
,,,92,,8
,,,93,,7
,,,93,,7
,,,92,,8
,,,92,,8
,,,92,,8
,,,90,,10
,,,89,,11
,,,87,,13
,,,86,,14
,,,84,,16
,,,82,,18
,,,82,,18
,,,81,,19
,,,80,,20
,,,80,,20
,,,79,,21
,,,77,,23
,,,74,,26
,,,74,,26
,,,74,,26
,,,73,,27
,,,71,,29
,,,67,,33
,,,65,,35
,,,64,,36
,,,63,,37
,,,62,,38
,,,61,,39
,,,59,,41
,,,59,,41
,,,57,,43
,,,57,,43
,,,53,,47
,,,50,,50
,,,49,,51
,,,48,,52
,,,46,,54
,,,43,,57
,,,42,,58
,,,39,,61
,,,36,,64
,,,34,,66
,,,32,,68
,,,30,,70
,,,29,,71
,,,27,,73
,,,24,,76
,,,22,,78
,,,20,,80
,,,20,,80
,,,20,,80
,,,19,,81
,,,17,,83
,,,17,,83
,,,16,,84
,,,15,,85
,,,14,,86
,,,13,,87
,,,12,,88
,,,11,,89
,,,9,,91
,,,9,,91
,,,6,,94
,,,4,,96
,,,4,,96
,,,4,,96
,,,3,,97
,,,3,,97
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,2,,98
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
,,,,,100
