 GoToToiletMasonAction, FastWanderMasonAction, IdleMasonAction, SlowWanderMasonAction, WaitForFriendMasonAction
,49,2,49,
,49,,51,
,49,,51,
,49,,51,
,49,,51,
,49,,51,
,49,,51,
,49,,51,
,49,,51,
,49,,51,
,49,,51,
,,49,51,
,30,,70,
,30,,70,
,30,,70,
,30,,70,
,30,,70,
,30,,70,
,30,,70,
,30,,70,
,30,,70,
,30,49,21,
,59,4,37,
,29,31,40,
,43,1,56,
,43,1,56,
,43,1,56,
,43,1,56,
,43,1,56,
,43,1,56,
,43,1,56,
,43,1,56,
,43,1,56,
,14,49,37,
,42,1,57,
,28,15,57,
,34,1,65,
,34,1,65,
,34,1,65,
,34,1,65,
,34,1,65,
,34,1,65,
,34,1,65,
,34,19,47,
,41,4,55,
,15,45,40,
,37,1,62,
,31,7,62,
,35,1,64,
,35,1,64,
,35,1,64,
,35,1,64,
,35,1,64,
,35,1,64,
,35,1,64,
,28,28,44,
,42,4,54,
,21,31,48,
,27,1,72,
,23,5,72,
,25,2,73,
,25,1,74,
,25,1,74,
,25,1,74,
,25,1,74,
,25,12,63,
,28,2,70,
,12,39,49,
,34,3,63,
,29,9,62,
,33,1,66,
,31,3,66,
,31,1,68,
,31,1,68,
,31,1,68,
,31,1,68,
,31,1,68,
,28,14,58,
,35,3,62,
,14,48,38,
,44,4,52,
,43,6,51,
,46,4,50,
,49,1,50,
,49,1,50,
,49,1,50,
,49,1,50,
,49,9,42,
,57,2,41,
,51,22,27,
,62,12,26,
,38,40,22,
,49,29,22,
1,49,29,20,1
1,49,29,20,1
1,50,28,20,1
1,50,28,20,1
1,50,28,20,1
1,50,28,20,1
1,42,42,14,1
1,41,44,14,
1,28,71,,
1,21,78,,
1,7,92,,
1,4,95,,
1,1,98,,
1,,99,,
1,,99,,
1,,99,,
1,,98,,1
2,,97,,1
1,,98,,1
1,,98,,1
1,,98,,1
1,,98,,1
1,,98,,1
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
1,,99,,
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
1,,99,,
1,,99,,
1,,99,,
2,,98,,
2,1,96,,1
2,1,96,,1
2,1,96,,1
2,1,96,,1
2,1,96,,1
2,1,96,,1
2,1,96,,1
2,1,97,,
2,1,96,,1
2,1,96,,1
2,1,96,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,97,,1
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,1,97,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
2,,98,,
3,,97,,
3,,96,,1
3,,96,,1
2,,97,,1
2,,97,,1
