 GoToToiletMasonAction, StandStillMasonAction, SlowWanderMasonAction, FastWanderMasonAction, WaitForFriendMasonAction, IdleMasonAction
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,,,54
,,69,26,,5
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,25,29,,46
,,46,51,,3
,,47,26,,27
,,62,34,,4
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,40,14,,46
,,57,36,,7
,,60,27,,13
,,65,31,1,3
1,,66,32,1,
1,,66,32,1,
1,,66,32,1,
1,,66,32,1,
1,,66,32,1,
1,,66,32,1,
1,,45,32,,22
1,,52,45,,2
1,,38,22,,39
1,,56,39,,4
1,,57,36,,6
1,,60,38,,1
1,,60,39,,
1,,60,39,,
1,,60,39,,
1,,60,39,,
1,,60,39,,
1,,60,39,,
1,,41,27,,31
1,,57,38,,4
1,,54,20,,25
1,,65,29,,5
1,,67,28,,4
1,,67,30,,2
1,,68,30,,1
1,,68,30,,1
1,,68,30,,1
1,,68,30,,1
1,,60,30,,9
1,,61,36,,2
1,,42,26,,31
1,,52,43,,4
1,,49,33,,17
1,,54,42,1,2
1,,55,40,1,3
1,,55,43,1,
1,,55,43,1,
1,,55,43,1,
1,,55,43,1,
1,,55,43,1,
1,,36,36,,27
1,,48,47,,4
1,,37,31,,31
1,,48,46,,5
1,,51,37,,11
1,,55,41,,3
1,,57,39,,3
1,,59,40,,
1,,59,40,,
1,,59,40,,
1,,57,41,,1
1,,57,42,,
1,,46,31,,22
1,,51,46,,2
1,,46,31,,22
1,,55,40,,4
1,,57,37,,5
1,,59,39,,1
1,,60,38,,1
1,,61,38,,
1,,61,38,,
1,,61,37,,1
1,,48,36,,15
1,,55,42,,2
1,,42,26,,31
1,,53,41,,5
1,,50,33,,16
1,,55,40,,4
1,,55,38,,6
,,60,39,,1
,,60,40,,
,,60,40,,
,,60,40,,
,,60,40,,
,,55,33,,12
,,60,38,,2
,,51,22,,27
,,61,33,,6
,,62,26,,12
,,67,30,,3
,,66,31,,3
,,66,32,,2
,,67,32,,1
,,66,33,,1
,,58,33,,9
,,60,39,,1
,,46,33,,21
,,54,41,,5
,,49,29,,22
,,55,39,,6
,,51,38,,11
,,58,38,,4
,,58,39,,3
,,60,39,,1
,,61,38,,1
,,61,38,,1
,,56,32,,12
,,60,37,,3
,,49,28,,23
,1,55,37,,7
,1,52,27,,20
,1,57,36,,6
,1,60,35,,4
,1,60,33,,6
,1,63,34,,2
,1,63,34,,2
,,61,34,,5
,,63,35,,2
,,53,30,1,16
,,55,41,1,3
,,49,30,1,20
,,56,37,1,6
1,,53,24,1,21
1,,62,35,1,1
1,,61,34,1,3
1,,62,35,,2
1,,63,35,,1
1,,63,35,,1
1,,58,34,,7
1,,59,38,,2
1,,51,28,,20
1,1,52,43,,3
1,1,49,34,,15
1,1,51,44,,3
1,1,51,34,,13
1,1,57,38,,3
1,1,58,39,,1
1,1,59,39,,
1,,57,39,,3
1,1,57,41,,
1,1,53,37,,8
1,1,53,41,,4
1,1,45,28,,25
1,1,49,41,,8
1,1,42,36,,20
1,1,47,46,,5
1,,47,43,,9
1,3,48,43,,5
1,3,51,43,,2
1,3,51,44,,1
1,3,49,42,,5
1,3,49,43,,4
1,3,45,41,,10
1,4,43,45,,7
1,1,38,35,,25
1,2,37,48,1,11
1,2,28,43,1,25
1,2,27,58,1,11
1,2,26,59,1,11
1,2,26,66,1,4
1,1,26,67,1,4
1,1,26,67,1,4
1,,24,67,,8
1,1,24,64,,10
1,1,16,58,,24
1,1,14,55,,29
1,1,8,37,,53
1,2,6,30,,61
1,2,4,14,,79
1,2,1,10,,86
1,1,1,3,,94
1,1,1,1,,96
1,1,,1,,97
1,1,,,,98
1,,,,,99
