 StandStillMasonAction, FastWanderMasonAction, GoToGoalMasonAction, SlowWanderMasonAction, IdleMasonAction
,43,,54,3
,44,,54,2
,44,,54,2
,44,,54,2
,44,,54,2
,44,,54,2
,44,,54,2
,44,,54,2
,44,,54,2
,44,,54,2
,44,,54,2
,1,,54,45
,18,,79,3
,19,,79,2
,19,,79,2
,19,,79,2
,19,,79,2
,19,,79,2
,19,,79,2
,19,,79,2
,19,,79,2
,19,,25,56
,50,,48,2
,32,,48,20
,40,1,56,3
,41,1,56,2
,41,1,56,2
,41,1,56,2
,41,1,56,2
,41,1,56,2
,41,1,56,2
,41,1,56,2
,41,1,56,2
,10,1,31,58
,40,1,56,3
,32,1,56,11
,36,2,58,4
,37,2,59,2
,37,2,59,2
,37,2,59,2
,37,2,59,2
,37,2,59,2
,37,2,59,2
,37,2,36,25
,54,2,42,2
,24,2,34,40
,41,4,52,3
,36,4,52,8
,40,4,53,3
,41,4,53,2
,41,4,53,2
,41,4,53,2
,41,4,53,2
,41,4,53,2
,41,4,53,2
,24,4,28,44
,48,4,45,3
,30,4,44,22
,43,4,50,3
,39,4,50,7
,41,4,52,3
,42,4,52,2
,42,4,52,2
,42,4,52,2
,42,4,52,2
,42,4,46,8
,44,4,50,2
,20,4,32,44
,43,4,51,2
,30,4,50,16
1,36,5,55,3
1,33,5,56,5
1,33,6,57,3
1,34,5,57,3
1,34,4,57,4
1,34,4,57,4
1,34,4,57,4
,32,4,40,24
1,43,4,46,6
1,20,4,41,34
1,36,5,53,5
1,30,5,51,13
1,34,5,56,4
1,33,5,56,5
1,32,5,57,5
,32,5,58,5
,33,5,58,4
,33,5,54,8
,35,5,56,4
,24,5,37,34
,38,8,48,6
,23,8,44,25
,32,9,51,8
,29,9,53,9
,32,9,55,4
,32,9,55,4
,32,9,55,4
,31,9,55,5
,32,9,55,4
,30,9,48,13
,35,9,50,6
,23,9,38,30
,36,12,46,6
,26,12,43,19
,36,13,46,5
,34,13,45,8
,35,13,47,5
,35,13,48,4
,35,13,48,4
,34,13,46,7
,36,14,46,4
,31,14,35,20
,39,15,39,7
,26,15,33,26
,39,15,39,7
,31,15,37,17
,36,16,43,5
,36,16,43,5
,36,16,44,4
,36,16,44,4
,36,15,44,5
,34,14,40,12
,37,15,42,6
,27,15,34,24
,34,17,39,10
,22,17,39,22
,28,18,44,10
,23,19,43,15
,24,19,48,9
,26,19,49,6
,26,19,49,6
,26,19,49,6
,26,19,49,6
,23,19,44,14
,27,19,45,9
,19,20,37,24
,25,23,44,8
,16,23,39,22
,26,25,41,8
,25,25,40,10
,24,25,42,9
,25,25,43,7
,25,25,43,7
,25,25,41,9
,26,25,42,7
,22,24,35,19
,27,25,37,11
,22,26,32,20
,28,26,34,12
,19,26,29,26
1,23,31,34,11
1,22,30,35,12
1,22,30,36,11
1,22,30,37,10
1,22,30,37,10
1,21,29,34,15
1,24,30,33,12
,20,30,26,24
,23,31,32,14
,20,31,30,19
,22,33,32,13
,17,34,31,18
,21,36,31,12
,21,35,31,13
,22,35,31,12
,22,34,30,14
,22,35,30,13
,19,35,25,21
,21,37,27,15
,18,36,23,23
,18,40,23,19
,16,42,17,25
1,19,44,17,19
1,15,45,16,23
1,15,47,18,19
1,15,48,18,18
1,16,48,18,17
1,16,47,18,18
1,16,47,18,18
,13,46,11,30
,15,53,11,21
,13,53,9,25
,12,57,8,23
,10,59,7,24
,10,62,7,21
,9,63,7,21
,9,63,7,21
,8,63,7,22
,8,64,7,21
,8,64,5,23
,8,66,5,21
,4,66,4,26
,3,69,4,24
,2,69,3,26
,1,70,3,26
,1,71,,28
,1,74,,25
,,72,,28
,,72,,28
,,71,,29
,,70,,30
,,69,,31
,,69,,31
,,66,,34
,,65,,35
