 GoToToiletMasonAction, SlowWanderMasonAction, FastWanderMasonAction, GoToGoalMasonAction, WaitForFriendMasonAction, IdleMasonAction
,49,50,,,1
,50,50,,,
,50,50,,,
,50,50,,,
,50,50,,,
,50,50,,,
,50,50,,,
,50,50,,,
,50,50,,,
,50,50,,,
,50,50,,,
,50,,,,50
,77,16,5,,2
,78,16,5,,1
,78,16,5,,1
,78,16,5,,1
,78,16,5,,1
,78,16,5,,1
,78,16,5,,1
,78,16,5,,1
,78,16,5,,1
,29,16,5,,50
,45,39,13,,3
,45,24,13,,18
,50,35,13,,2
1,50,35,13,1,
1,50,35,13,1,
1,50,35,13,1,
1,50,35,13,1,
1,50,35,13,1,
1,50,35,13,1,
1,50,35,13,1,
1,50,35,13,1,
1,23,12,13,1,50
1,37,41,18,1,2
1,37,32,18,1,11
1,41,37,20,1,
1,41,37,20,1,
1,41,37,20,1,
1,41,37,20,,1
1,41,37,20,,1
1,41,37,20,,1
1,41,37,20,,1
1,24,37,20,,18
1,29,46,23,,1
1,24,16,23,,36
1,38,28,30,,3
1,40,23,30,,6
1,42,25,30,,2
1,42,26,30,,1
1,42,26,30,,1
1,42,26,30,,1
1,42,26,30,,1
1,42,26,30,,1
1,42,26,30,,1
1,27,17,30,,25
1,37,30,31,,1
1,33,16,31,,19
1,43,22,33,,1
1,43,20,33,,3
1,44,20,33,,2
1,44,21,33,,1
1,44,21,33,,1
1,44,21,33,,1
1,44,21,33,,1
1,39,21,33,,6
,42,23,34,,1
,28,10,34,,28
,38,19,40,,3
,37,14,40,,9
,39,18,42,,1
,39,17,42,,2
,40,16,42,,2
,41,16,42,,1
,41,16,41,,2
,41,16,40,,3
,41,16,39,,4
,31,14,37,,18
,33,18,42,,7
,23,9,42,,26
,28,15,49,,8
,28,11,49,,12
,29,13,51,,7
,29,13,51,,7
,29,13,51,,7
,29,13,51,,7
,29,13,51,,7
,26,13,50,,11
,26,13,51,,10
,14,9,49,,28
,19,13,51,,17
,18,7,52,,23
,22,11,51,,16
,21,9,49,,21
,21,11,49,,19
,21,12,49,,18
,21,12,48,,19
,21,12,46,,21
,21,12,46,,21
,19,12,45,,24
,20,12,46,,22
1,15,8,46,,30
1,18,9,48,,24
1,17,5,49,,28
1,19,6,50,1,23
1,19,4,50,1,25
1,19,3,52,1,24
1,20,3,52,1,23
1,20,3,51,1,24
1,20,3,48,1,27
1,20,3,47,1,28
1,15,3,47,,34
,16,6,47,,31
,12,5,47,,36
,14,8,48,,30
,13,7,48,,32
1,14,7,48,,30
,14,7,48,,31
,14,7,47,,32
,14,7,46,,33
,14,7,46,,33
,13,8,45,,34
,13,8,46,,33
,9,5,45,,41
,11,6,48,,35
,9,3,48,,40
,10,4,51,,35
,10,4,50,,36
,9,4,50,,37
,9,4,51,,36
,9,4,51,,36
,9,4,49,,38
,8,3,50,,39
,7,3,49,,41
,7,4,49,,40
,5,2,48,,45
,5,5,48,,42
,4,4,46,,46
,5,4,45,,46
,5,4,45,,46
,5,4,44,,47
,5,4,42,,49
,5,4,41,,50
,5,4,41,,50
,5,4,41,,50
,3,3,41,,53
,3,4,43,,50
,2,1,42,,55
,2,3,44,,51
,2,3,44,,51
,2,3,44,,51
,2,3,44,,51
,2,3,42,,53
,2,3,42,,53
,1,3,41,,55
,1,3,40,,56
,1,3,39,,57
,1,2,38,,59
,2,2,38,,58
,1,,38,,61
,1,1,40,,58
,1,1,38,,60
,1,1,38,,60
,1,1,35,,63
,1,1,35,,63
,1,1,35,,63
,1,1,35,,63
,1,1,35,,63
,1,1,34,,64
,1,1,33,,65
,1,1,32,,66
,1,,32,,67
,1,,33,,66
,1,,32,,67
,1,,32,,67
,1,,32,,67
,1,,32,,67
,1,,30,,69
,1,,29,,70
,,,27,,73
,,,28,,72
,,,28,,72
,,,28,,72
,,,28,,72
,,,28,,72
,,,28,,72
,,,27,,73
,,,27,,73
,,,25,,75
,,,23,,77
,,,23,,77
,,,23,,77
,,,22,,78
,,,21,,79
,,,20,,80
,,,19,,81
,,,18,,82
,,,17,,83
,,,16,,84
,,,15,,85
,,,14,,86
,,,14,,86
,,,14,,86
,,,14,,86
,,,14,,86
,,,14,,86
,,,14,,86
,,,14,,86
,,,13,,87
