 StandStillMasonAction, IdleMasonAction, SlowWanderMasonAction
,14,86
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,1,99
,87,13
,23,77
,4,96
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,79,21
,28,72
,4,96
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,72,28
,32,68
,6,94
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,67,33
,45,55
,17,83
,6,94
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,52,48
,56,44
,42,58
,23,77
,13,87
,6,94
,3,97
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,2,98
,30,70
,45,55
,51,49
1,41,58
1,31,68
1,24,75
1,21,78
1,9,90
1,6,93
1,2,97
,3,97
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
1,2,97
,3,97
,3,97
,3,97
1,2,97
1,13,86
1,22,77
1,35,64
1,38,61
2,26,72
3,19,78
2,21,77
3,16,81
3,15,82
3,9,88
3,5,92
2,6,92
2,5,93
3,3,94
2,4,94
3,2,95
3,2,95
3,2,95
3,2,95
2,3,95
2,3,95
3,2,95
2,11,87
3,11,86
3,19,78
3,33,64
3,30,67
2,29,69
3,25,72
4,21,75
3,19,78
3,18,79
4,7,89
4,6,90
4,5,91
2,7,91
3,6,91
4,3,93
4,2,94
3,3,94
3,2,95
3,2,95
3,2,95
1,4,95
1,8,91
3,11,86
3,13,84
3,23,74
3,26,71
3,27,70
5,20,75
