 GoToToiletMasonAction, FastWanderMasonAction, IdleMasonAction, SlowWanderMasonAction, WaitForFriendMasonAction
,45,3,52,
,45,1,54,
,45,1,54,
,45,1,54,
,45,1,54,
,45,1,54,
,45,1,54,
,45,1,54,
,45,1,54,
,45,1,54,
,45,1,54,
,,46,54,
,25,2,73,
,25,1,74,
,25,1,74,
,25,1,74,
,25,1,74,
,25,1,74,
,25,1,74,
,25,1,74,
,25,1,74,
,25,53,22,
,46,6,48,
,25,26,49,
,33,2,65,
,33,1,66,
,33,1,66,
,33,1,66,
,33,1,66,
,33,1,66,
,33,1,66,
,33,1,66,
,33,1,66,
,12,41,47,
,25,7,68,
,19,10,71,
1,23,,75,1
1,23,,75,1
1,23,,75,1
1,23,,75,1
1,23,,75,1
1,23,,75,1
1,23,,75,1
1,23,29,47,
1,34,2,63,
1,18,34,47,
1,31,4,64,
1,28,4,67,
1,29,1,69,
1,29,1,69,
1,29,1,69,
1,29,1,69,
1,29,1,69,
1,29,1,69,
1,29,1,69,
1,18,34,47,
1,34,6,59,
1,23,19,57,
1,35,2,62,
1,35,2,62,
1,36,1,62,
1,36,1,62,
1,36,1,62,
1,36,1,62,
1,36,1,62,
1,36,18,45,
1,44,1,54,
1,27,36,36,
1,42,9,48,
1,34,17,48,
1,39,6,54,
1,41,3,55,
1,42,2,55,
1,42,2,55,
1,42,2,55,
1,42,2,55,
1,42,2,55,
1,34,25,40,
1,45,6,48,
1,27,27,45,
,31,7,62,
,27,8,65,
,25,5,70,
,26,3,71,
,27,2,71,
,27,2,71,
,27,2,71,
,27,11,62,
,33,2,65,
,22,28,50,
,35,7,58,
,28,17,55,
,35,5,60,
,35,4,61,
,34,4,62,
,34,3,63,
,34,2,64,
,34,2,64,
,34,2,64,
,28,18,54,
,34,4,62,
,21,33,46,
,38,7,55,
,31,16,53,
,36,5,59,
,35,3,62,
,35,3,62,
,36,2,62,
,36,2,62,
,36,5,59,
,37,2,61,
,31,18,51,
,35,6,59,
,17,27,56,
,27,7,66,
,24,9,67,
,28,4,68,
,28,4,68,
,28,3,69,
,29,2,69,
,29,2,69,
,28,13,59,
1,35,3,61,
1,31,19,49,
1,39,5,54,1
1,31,20,47,1
1,38,7,53,1
1,38,5,55,1
1,38,3,57,1
1,38,2,58,1
1,38,2,58,1
1,38,4,57,
1,38,2,59,
1,31,20,48,
1,40,7,52,
1,33,21,45,
1,42,8,49,
1,36,14,49,
1,39,7,53,
1,42,4,53,
1,43,3,53,
1,42,3,54,
1,43,2,54,
1,44,4,51,
1,45,2,52,
1,35,20,44,
1,37,4,58,
1,25,24,50,
1,36,8,55,
1,30,11,58,
1,28,7,64,
1,28,4,67,
1,29,3,67,
1,29,5,65,
1,31,3,65,
1,30,10,59,
1,33,6,60,
1,31,12,56,
1,37,5,57,
1,24,22,53,
1,33,7,59,
1,34,4,61,
1,33,5,61,
1,34,4,61,
1,35,3,61,
1,33,6,60,
1,33,2,64,
1,30,19,50,
1,36,5,58,
1,32,16,51,
1,37,9,53,
1,33,20,46,
,40,8,52,
,42,4,54,
,42,4,54,
,42,4,54,
,41,4,55,
,43,7,50,
,44,4,52,
,37,14,49,
,39,6,55,
,35,16,49,
,34,11,55,
,29,14,57,
,35,5,60,
,35,4,61,
,33,4,63,
,34,5,61,
,34,4,62,
,35,12,53,
,39,4,57,
,34,15,51,
1,36,4,58,1
1,33,15,50,1
1,35,9,54,1
1,31,10,57,1
1,36,3,59,1
1,36,3,59,1
1,36,1,61,1
1,34,8,57,
1,37,4,58,
1,32,14,53,
1,36,4,59,
