 StandStillMasonAction, GoToToiletMasonAction, SlowWanderMasonAction, FastWanderMasonAction, WaitForFriendMasonAction, IdleMasonAction
,,46,53,,1
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,54,,
,,46,1,,53
,,70,28,,2
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,71,29,,
,,25,29,,46
,,48,50,,2
,,48,23,,29
,,61,37,,2
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,38,16,,46
,,60,35,,5
,,61,23,,16
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,69,30,,1
,,46,30,,24
,,59,39,,2
,,46,20,,34
,,56,39,,5
,,59,33,,8
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,63,36,,1
,,40,27,,33
,,52,45,,3
,,44,25,,31
,,58,39,,3
,,58,38,,4
,,59,40,,1
,,59,40,,1
,,59,40,,1
,,59,40,,1
,,59,40,,1
,,46,40,,14
,,49,50,,1
,,38,31,,31
,,50,44,,6
,,49,31,,20
,,61,36,,3
,,61,36,,3
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,49,27,,24
,,60,39,,1
,,46,24,,30
,,56,40,,4
,,56,35,,9
,,61,36,,3
,,61,36,,3
,,62,37,,1
,,62,37,,1
,,62,37,,1
,,59,37,,4
,,60,39,,1
,,45,27,,28
,,54,42,,4
,,43,25,,32
,,54,41,,5
,,55,40,,5
,,59,39,,2
,,59,39,,2
,,59,40,,1
,,59,40,,1
,,59,40,,1
,,48,38,,14
,,54,45,,1
,,44,30,,26
1,,53,42,,4
1,,50,25,,24
2,,60,35,,3
2,,60,36,,2
2,,61,35,,2
2,,62,34,,2
2,,62,35,,1
1,,61,35,,3
1,,61,36,,2
,,50,29,,21
1,,58,39,,2
1,,47,27,,25
1,,55,40,,4
1,,54,28,,17
1,,61,35,,3
1,,62,36,,1
1,,62,36,,1
,,62,35,,3
1,,62,36,,1
1,,56,35,,8
1,,59,39,,1
1,,49,29,,21
1,,57,38,,4
1,,49,25,,25
1,,59,36,,4
,,60,29,,11
,,61,36,,3
,,61,38,,1
,,61,38,,1
,,61,37,,2
,,61,37,,2
,,52,34,,14
1,,57,41,,1
1,,47,31,,21
1,,48,46,,5
1,,42,38,,19
1,,50,46,,3
1,,51,39,,9
1,,52,43,,4
,,53,45,,2
1,,53,45,,1
1,,50,45,,4
1,,51,45,,3
1,1,42,38,1,17
1,1,46,49,1,2
1,1,36,34,1,27
1,1,47,45,1,5
,1,47,39,1,12
,1,52,45,1,1
,1,52,40,1,6
,1,55,41,,3
,1,55,42,,2
1,1,55,42,,1
1,1,50,42,,6
1,1,53,45,,
1,1,49,34,,15
1,1,55,40,,3
1,1,47,28,,23
2,1,50,42,,5
1,1,49,39,,10
1,1,50,46,,2
1,1,51,44,,3
1,1,53,44,,1
1,1,53,44,,1
1,1,52,44,,2
,1,46,43,,10
1,1,48,49,,1
1,1,35,43,,20
1,1,38,51,,9
1,1,36,37,,25
1,1,42,48,,8
1,1,41,46,,11
1,1,43,50,,5
,1,43,52,,4
1,1,43,54,,1
1,1,40,53,,5
1,1,41,54,,3
1,1,34,49,,15
2,1,33,58,,6
2,1,29,53,,15
3,1,29,60,,7
2,1,27,48,,22
2,1,26,55,,16
2,1,24,59,,14
2,1,23,59,,15
1,1,23,62,,13
2,2,23,69,1,3
1,2,20,66,1,10
2,2,20,65,1,10
2,2,15,55,1,25
2,2,12,50,1,33
2,2,6,40,1,49
2,2,4,37,1,54
1,2,1,24,,72
1,2,1,15,,81
,2,1,12,,85
,2,1,7,,90
,2,,,,98
,2,,,,98
,2,,,,98
