 StandStillMasonAction, FastWanderMasonAction, GoToGoalMasonAction, SlowWanderMasonAction, IdleMasonAction
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,51,7,44,1
,,7,44,52
,22,12,67,2
,22,12,68,1
,22,12,68,1
,22,12,68,1
,22,12,68,1
,22,12,68,1
,22,12,68,1
,22,12,68,1
,22,12,68,1
,22,12,24,45
,39,15,46,3
,18,15,46,24
,30,15,56,2
,42,3,52,3
,43,3,52,2
,43,3,52,2
,43,3,52,2
,43,3,52,2
,43,3,52,2
,43,3,52,2
,43,3,52,2
,42,3,51,4
,43,3,52,2
,43,3,52,2
,2,3,52,43
,20,3,73,4
,20,3,75,2
,20,3,75,2
,20,3,75,2
,20,3,75,2
,20,3,75,2
,20,3,75,2
,20,3,75,2
,19,3,74,4
,20,3,25,52
,52,4,42,2
,33,4,42,21
,38,8,52,2
,38,8,52,2
,38,8,52,2
,38,8,52,2
,38,8,52,2
,38,8,52,2
,38,8,51,3
,39,8,51,2
,38,8,51,3
,6,8,31,55
,29,11,55,5
,25,11,56,8
,28,11,59,2
,28,11,59,2
,28,11,59,2
,28,11,59,2
,28,11,59,2
,28,11,59,2
,27,11,58,4
,27,11,43,19
,31,12,54,3
,9,12,44,35
,21,15,61,3
,19,15,61,5
,20,15,63,2
,20,15,63,2
,20,15,63,2
,20,15,63,2
,20,15,63,2
,20,15,63,2
,20,15,62,3
,16,15,37,32
,29,16,50,5
,17,16,49,18
,21,19,57,3
,20,19,57,4
,21,20,57,2
,21,20,57,2
,21,20,57,2
,21,20,57,2
,21,20,55,4
,23,20,44,13
,28,22,48,2
,14,19,31,36
,28,22,44,6
,24,22,42,12
,29,22,44,5
,28,21,44,7
,29,21,44,6
,29,21,44,6
,29,21,44,6
,29,21,44,6
,27,21,43,9
,24,21,30,25
,32,23,37,8
,19,23,29,29
,29,24,40,7
,25,24,40,11
,27,26,41,6
,26,26,41,7
,26,26,42,6
,26,25,42,7
,26,25,42,7
,26,25,38,11
,28,25,38,9
,22,25,25,28
,34,26,31,9
,23,26,31,20
,30,27,35,8
,28,26,36,10
,30,25,36,9
,30,25,36,9
,30,25,36,9
,30,25,36,9
,30,25,35,10
,27,25,26,22
,31,28,29,12
,18,29,18,35
,27,30,32,11
,19,30,31,20
,24,29,35,12
,22,29,34,15
,24,28,34,14
,24,27,34,15
,24,26,34,16
,24,26,34,16
,23,25,34,18
,18,25,28,29
,23,26,31,20
,15,25,29,31
,21,27,33,19
,17,27,33,23
,20,28,34,18
,18,28,34,20
,18,29,35,18
,18,28,35,19
,18,28,35,19
,18,28,32,22
,17,28,35,20
,12,28,21,39
,22,29,29,20
,17,29,25,29
,22,30,28,20
,19,31,28,22
,21,31,29,19
,21,30,29,20
,21,29,29,21
,21,28,29,22
,21,28,29,22
,21,27,24,28
,22,27,24,27
,13,28,19,40
,22,31,22,25
,17,31,21,31
,22,33,21,24
,20,33,20,27
,21,34,21,24
,21,33,21,25
,21,33,21,25
,21,33,18,28
,22,35,18,25
,20,35,10,35
,24,36,12,28
,16,36,9,39
2,22,39,10,27
2,18,38,9,33
2,21,40,10,27
2,20,39,10,29
2,20,40,10,28
2,20,39,10,29
2,20,38,10,30
,19,38,8,35
1,22,38,9,30
1,16,38,6,39
1,19,38,9,33
1,12,38,11,38
1,14,38,13,34
1,11,39,12,37
1,11,40,15,33
,11,39,15,35
,11,39,15,35
,11,39,15,35
,11,39,15,35
,8,38,13,41
,11,38,14,37
,6,37,14,43
,12,37,14,37
,9,37,13,41
,11,37,14,38
,11,37,14,38
,11,36,14,39
,11,36,14,39
,11,35,14,40
,11,35,13,41
,11,36,13,40
,8,35,10,44
,10,38,8,41
,5,38,6,48
,6,45,6,40
,4,45,3,45
,6,48,3,40
,6,47,3,41
,6,47,3,41
,6,47,3,41
,6,47,3,41
,6,45,2,44
,6,46,1,44
,4,47,1,45
,3,47,1,46
,2,47,,48
,2,49,,46
,,49,,48
,,50,,47
,,49,,48
,,48,,49
,,47,,50
,,47,,50
,,46,,51
,,45,,52
,,43,,54
